x,y,rho,u,v,p,w,temperature,rho_exact,u_exact,v_exact,p_exact,is_solid
0.0625,0.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.1875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.3125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.4375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.5625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.6875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.8125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,0.9375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.1875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.3125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.4375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.5625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.6875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.8125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,1.9375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,2.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,2.1875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,2.3125,1,1,0.999999,1,nan,nan,1,1.00003,1,1,0
0.0625,2.4375,1,1,0.999999,1,nan,nan,1,1.00003,1,1,0
0.0625,2.5625,1,1,0.999999,1,nan,nan,1,1.00003,1,1,0
0.0625,2.6875,1,1,0.999999,1,nan,nan,1,1.00003,1,1,0
0.0625,2.8125,1,1,0.999998,1,nan,nan,1,1.00003,1,1,0
0.0625,2.9375,1,1,0.999998,1,nan,nan,1,1.00003,1,1,0
0.0625,3.0625,1,1,0.999997,1,nan,nan,1,1.00003,1,1,0
0.0625,3.1875,1,1,0.999996,1,nan,nan,1,1.00003,1,1,0
0.0625,3.3125,1,1,0.999995,1,nan,nan,1,1.00003,1,1,0
0.0625,3.4375,1,1,0.999994,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,3.5625,1,1,0.999993,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,3.6875,1.00001,1,0.999991,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,3.8125,1.00001,1,0.99999,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,3.9375,1.00001,1,0.999988,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.0625,1.00001,1,0.999986,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.1875,1.00001,1,0.999985,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.3125,1.00001,1,0.999983,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.4375,1.00001,1,0.999981,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.5625,1.00001,1,0.999979,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.6875,1.00001,1,0.999978,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.8125,1.00001,1,0.999976,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,4.9375,1.00001,1,0.999975,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,5.0625,1.00001,1,0.999974,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,5.1875,1,1,0.999973,1.00001,nan,nan,1,1.00003,1,1,0
0.0625,5.3125,1,1,0.999972,1,nan,nan,1,1.00003,1,1,0
0.0625,5.4375,1,1,0.999972,1,nan,nan,1,1.00003,1,1,0
0.0625,5.5625,0.999999,1,0.999972,0.999999,nan,nan,1,1.00003,1,1,0
0.0625,5.6875,0.999998,0.999999,0.999972,0.999997,nan,nan,1,1.00003,1,1,0
0.0625,5.8125,0.999996,0.999998,0.999973,0.999994,nan,nan,1,1.00003,1,1,0
0.0625,5.9375,0.999995,0.999997,0.999974,0.999993,nan,nan,1,1.00003,1,1,0
0.0625,6.0625,0.999994,0.999996,0.999975,0.999991,nan,nan,1,1.00003,1,1,0
0.0625,6.1875,0.999993,0.999996,0.999976,0.99999,nan,nan,1,1.00003,1,1,0
0.0625,6.3125,0.999992,0.999996,0.999978,0.999989,nan,nan,1,1.00003,1,1,0
0.0625,6.4375,0.999992,0.999995,0.999979,0.999988,nan,nan,1,1.00003,1,1,0
0.0625,6.5625,0.999991,0.999996,0.999981,0.999988,nan,nan,1,1.00003,1,1,0
0.0625,6.6875,0.999992,0.999996,0.999983,0.999988,nan,nan,1,1.00003,1,1,0
0.0625,6.8125,0.999992,0.999996,0.999985,0.999989,nan,nan,1,1.00003,1,1,0
0.0625,6.9375,0.999992,0.999996,0.999986,0.999989,nan,nan,1,1.00003,1,1,0
0.0625,7.0625,0.999993,0.999997,0.999988,0.99999,nan,nan,1,1.00003,1,1,0
0.0625,7.1875,0.999994,0.999997,0.99999,0.999991,nan,nan,1,1.00003,1,1,0
0.0625,7.3125,0.999994,0.999997,0.999991,0.999992,nan,nan,1,1.00003,1,1,0
0.0625,7.4375,0.999995,0.999998,0.999993,0.999993,nan,nan,1,1.00003,1,1,0
0.0625,7.5625,0.999996,0.999998,0.999994,0.999994,nan,nan,1,1.00003,1,1,0
0.0625,7.6875,0.999997,0.999998,0.999995,0.999995,nan,nan,1,1.00003,1,1,0
0.0625,7.8125,0.999997,0.999999,0.999996,0.999996,nan,nan,1,1.00003,1,1,0
0.0625,7.9375,0.999998,0.999999,0.999997,0.999997,nan,nan,1,1.00003,1,1,0
0.0625,8.0625,0.999998,0.999999,0.999998,0.999997,nan,nan,1,1.00003,1,1,0
0.0625,8.1875,0.999999,0.999999,0.999998,0.999998,nan,nan,1,1.00003,1,1,0
0.0625,8.3125,0.999999,1,0.999999,0.999998,nan,nan,1,1.00003,1,1,0
0.0625,8.4375,0.999999,1,0.999999,0.999999,nan,nan,1,1.00003,1,1,0
0.0625,8.5625,0.999999,1,0.999999,0.999999,nan,nan,1,1.00003,1,1,0
0.0625,8.6875,1,1,0.999999,0.999999,nan,nan,1,1.00003,1,1,0
0.0625,8.8125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,8.9375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.1875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.3125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.4375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.5625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.6875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.8125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.0625,9.9375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.1875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.3125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.4375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.5625,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.6875,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.8125,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,0.9375,1,1,1,1,nan,nan,1,1.00003,1,1,0
0.1875,1.0625,1,1,1,1,nan,nan,1,1.00003,1,1,0
